,,Dataset,,,Africa,,,,,Americas,,,,,,Asia,,,,,,Europe,,,,Pacific Region,,,
Rape & mustard,"Rapeseed (Brassica napus L.), Mustard seed (Brassica rapa L.)",x,,,,,,,,,,,,,,,,,,,x,,x,,x,,,,"Zeven and Zhukovsky (1975), Flores-Palacios (1998), with Europe region further refined, Castañeda-Álvarez (2016)"
Rapeseed,Brassica napus L.,,x,x,,,,,,,,,,,,,,,,,x,,x,,x,,,,"Zeven and Zhukovsky (1975), Flores-Palacios (1998), with Europe region further refined, Castañeda-Álvarez (2016)"
Raspberries,Rubus idaeus L.,,x,x,,,,,,,,x,,,,x,x,,,x,x,x,x,x,x,,,,"Zeven and Zhukovsky (1975), GRIN (2014)"
Rice,"Oryza sativa L., Oryza glaberrima Steud.",x,x,x,x,,,,x,,,,,,,,x,x,x,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998). For Central Africa- African rice native to this region and cultivated there (GRIN, 2014), Castañeda-Álvarez (2016)"
Roots tubers nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
"Roots, other","Taro (Colocasia esculenta (L.) Schott), Yautia (Xanthosoma violaceum Schott, Xanthosoma sagittifolium (L.) Schott)",x,,,,,,,,x,x,,,,x,,,x,x,,,,,,,,x,,"Hawkes (1983), Caribbean, Central America and Mexico, and tropical South America- as determined from contributing species (Xanthosoma) (see Table 1, Khoury et al. (2014) Regions GRIN (2014). South and Southeast Asia- as determined from contributing species (Colocasia) (see Table 1, Khoury et al. (2014) Regions GRIN (2014). Tropical Pacific Region- Engels et al. (2001), Castañeda-Álvarez (2016)"
Rye,Secale cereale L.,x,x,x,,,,,,,,,,,,,,,,x,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998),  Castañeda-Álvarez (2016)"
Safflower seed,Carthamus tinctorius L.,,x,x,,,,,,,,,,,,x,,,,x,,,x,,,,,,"Zeven and Zhukovsky (1975),  Castañeda-Álvarez (2016)"
Sesame,Sesamum indicum L.,x,x,x,,x,,,,,,,,,,,,x,,x,,,,,,,,,"Hawkes (1983), Flores-Palacios (1998), West Asia- spread to this region in ancient times from India GRIN (2014)"
Sheanuts,Vitellaria paradoxa C.F.Gaertn.,,x,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,GRIN (2014)
Sorghum,Sorghum bicolor (L.) Moench,x,x,x,x,x,,x,x,,,,,,,,,,,,,,,,,,,,"Zeven and Zhukovsky (1975), Flores-Palacios (1998), Castañeda-Álvarez (2016)"
Soybean,Glycine max (L.) Merr.,x,x,x,,,,,,,,,,,,,x,,,,,,,,,,,,"Hawkes (1983), Zeven and Zhukovsky (1975), Flores-Palacios (1998), Castañeda-Álvarez (2016)"
Spices nes,Not specified,,x,x,,,,,,,,,,,,,,,,,,,,,,,,x,
"Spices, other",Not specified,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Spinach,Spinacia oleracea L.,,x,x,,,,,,,,,,,,x,,,,x,,,,,,,,,"Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016), GRIN (2014)- It's suggested origin in Iran (Prota (2014) & Hanelt (2001)) indicate that Asia_West should also be included."
Strawberries,Fragaria × ananassa Duchesne ex Rozier,,x,x,,,,,,,,x,,x,,,,,,,,,,,,,,,"Zeven and Zhukovsky (1975), Castañeda-Álvarez (2016)"
Sugar,"Sugarcane (Saccharum officinarum L.), Sugar beet (Beta vulgaris L.)",x,,,,,,,,,,,,,,,,x,x,,x,x,x,x,x,,,,"Zeven and Zhukovsky (1975), Asia and SE Mediterranean- Flores-Palacios (1998). Europe- Flores-Palacios (1998), with region further refined, Castañeda-Álvarez (2016)"
Sugar beet,Beta vulgaris L.,,x,x,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,"Zeven and Zhukovsky (1975), Flores-Palacios (1998), with region further defined for Europe,  Castañeda-Álvarez (2016)"
Sugarcane,Saccharum officinarum L.,,x,x,,,,,,,,,,,,,,x,x,,,,,,,,,,"Zeven and Zhukovsky (1975), Flores-Palacios (1998), Castañeda-Álvarez (2016)"
Sunflower,Helianthus annuus L.,x,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,"Zeven and Zhukovsky (1975), Flores-Palacios (1998), Castañeda-Álvarez (2016)"
